visit_id,script_url,top_level_url,symbol,operation,value,arguments,time_stamp,context_id,temp
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,get,__utma=41573937.1333442691.1588206754.1588206754.1588206754.1; __utmb=41573937.0.10.1588206754; __utmc=41573937; __utmz=41573937.1588206754.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),,2020-04-30T00:32:34.511Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.plugins[Shockwave Flash].name,get,Shockwave Flash,,2020-04-30T00:32:34.511Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.plugins[Shockwave Flash].description,get,Shockwave Flash 32.0 r0,,2020-04-30T00:32:34.512Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,get,__utma=41573937.1333442691.1588206754.1588206754.1588206754.1; __utmb=41573937.0.10.1588206754; __utmc=41573937; __utmz=41573937.1588206754.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),,2020-04-30T00:32:34.512Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.userAgent,get,Mozilla/5.0 (X11; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0,,2020-04-30T00:32:34.512Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,set,"__utmt=1; path=/; expires=Thu, 30 Apr 2020 00:42:34 GMT; domain=berkeley.edu;",,2020-04-30T00:32:34.513Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,get,__utma=41573937.1333442691.1588206754.1588206754.1588206754.1; __utmb=41573937.0.10.1588206754; __utmc=41573937; __utmz=41573937.1588206754.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); __utmt=1,,2020-04-30T00:32:34.513Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.userAgent,get,Mozilla/5.0 (X11; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0,,2020-04-30T00:32:34.513Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,get,__utma=41573937.1333442691.1588206754.1588206754.1588206754.1; __utmb=41573937.0.10.1588206754; __utmc=41573937; __utmz=41573937.1588206754.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); __utmt=1,,2020-04-30T00:32:34.514Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.userAgent,get,Mozilla/5.0 (X11; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0,,2020-04-30T00:32:34.514Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,set,"__utma=41573937.1333442691.1588206754.1588206754.1588206754.1; path=/; expires=Sat, 30 Apr 2022 00:32:34 GMT; domain=berkeley.edu;",,2020-04-30T00:32:34.515Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.userAgent,get,Mozilla/5.0 (X11; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0,,2020-04-30T00:32:34.516Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,set,"__utmb=41573937.1.10.1588206754; path=/; expires=Thu, 30 Apr 2020 01:02:34 GMT; domain=berkeley.edu;",,2020-04-30T00:32:34.516Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.userAgent,get,Mozilla/5.0 (X11; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0,,2020-04-30T00:32:34.516Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.document.cookie,set,__utmc=41573937; path=/; domain=berkeley.edu;,,2020-04-30T00:32:34.516Z,1,google-analytics
1,https://ssl.google-analytics.com/ga.js,https://www.berkeley.edu/,window.navigator.userAgent,get,Mozilla/5.0 (X11; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0,,2020-04-30T00:32:34.517Z,1,google-analytics
