visit_id,record_type,change_cause,host,name,value,time_stamp
3,added-or-changed,explicit,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.706Z
3,added-or-changed,explicit,.berkeley.edu,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.710Z
3,added-or-changed,explicit,.berkeley.edu,__utmc,41573937,2020-04-23T01:44:39.712Z
3,added-or-changed,explicit,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.713Z
3,added-or-changed,explicit,.berkeley.edu,__utmt,1,2020-04-23T01:44:39.718Z
3,deleted,overwrite,.berkeley.edu,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.727Z
3,added-or-changed,explicit,.berkeley.edu,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.727Z
3,added-or-changed,explicit,.www.berkeley.edu,nmstat,1587606291823,2020-04-23T01:44:39.755Z
3,added-or-changed,explicit,www.berkeley.edu,GATEWAY_EE_last_visit,1272246279,2020-04-23T01:44:40.471Z
3,added-or-changed,explicit,www.berkeley.edu,GATEWAY_EE_last_activity,1587606279,2020-04-23T01:44:40.471Z
3,added-or-changed,explicit,www.berkeley.edu,GATEWAY_EE_tracker,a%3A1%3A%7Bi%3A0%3Bs%3A32%3A%22blog%2Findex%2Flv_blog_block_GATEWAY%22%3B%7D,2020-04-23T01:44:40.471Z
3,added-or-changed,explicit,www.berkeley.edu,GATEWAY_EE_csrf_token,e687102b5613dc8ebfdce554c7ca2dc1363626bc,2020-04-23T01:44:40.472Z
3,deleted,overwrite,www.berkeley.edu,GATEWAY_EE_tracker,a%3A1%3A%7Bi%3A0%3Bs%3A40%3A%22twitter%2Findex%2Flv_twitter_feed_UCBerkeley%22%3B%7D,2020-04-23T01:44:41.006Z
3,added-or-changed,explicit,www.berkeley.edu,GATEWAY_EE_tracker,a%3A1%3A%7Bi%3A0%3Bs%3A40%3A%22twitter%2Findex%2Flv_twitter_feed_UCBerkeley%22%3B%7D,2020-04-23T01:44:41.006Z
3,deleted,explicit,www.berkeley.edu,GATEWAY_EE_csrf_token,e687102b5613dc8ebfdce554c7ca2dc1363626bc,2020-04-23T01:44:41.007Z
3,added-or-changed,explicit,www.berkeley.edu,GATEWAY_EE_csrf_token,c9dcb21e830e235a416d89ace12a89b836194408,2020-04-23T01:44:41.007Z
3,added-or-changed,explicit,matrix.berkeley.edu,has_js,1,2020-04-23T01:45:04.162Z
3,added-or-changed,explicit,.berkeley.edu,__unam,94a0df2-171a4b5b508-2ff782ff-1,2020-04-23T01:45:04.164Z
3,deleted,overwrite,.berkeley.edu,__unam,94a0df2-171a4b5b508-2ff782ff-2,2020-04-23T01:45:04.526Z
3,added-or-changed,explicit,.berkeley.edu,__unam,94a0df2-171a4b5b508-2ff782ff-2,2020-04-23T01:45:04.526Z
3,added-or-changed,explicit,.berkeley.edu,_ga,GA1.2.1106402829.1587606280,2020-04-23T01:45:04.557Z
3,added-or-changed,explicit,.berkeley.edu,_gid,GA1.2.2027022947.1587606305,2020-04-23T01:45:04.558Z
3,added-or-changed,explicit,.berkeley.edu,_gat,1,2020-04-23T01:45:04.563Z
3,deleted,overwrite,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:45:26.278Z
3,added-or-changed,explicit,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:45:26.279Z
3,deleted,overwrite,.berkeley.edu,__utmb,41573937.1.10.1587606280,2020-04-23T01:45:26.279Z
3,added-or-changed,explicit,.berkeley.edu,__utmb,41573937.1.10.1587606280,2020-04-23T01:45:26.279Z
3,deleted,overwrite,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:45:26.280Z
3,added-or-changed,explicit,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:45:26.280Z
