visit_id,record_type,change_cause,host,name,value,time_stamp
3,added-or-changed,explicit,.sitescout.com,ssi,4feb4659-5c65-4576-bf77-9d7251e04242#1587613246565,2020-04-23T03:40:46.576Z
3,added-or-changed,explicit,.turn.com,uid,7923632157011913068,2020-04-23T03:40:46.582Z
3,added-or-changed,explicit,.adform.net,uid,9177840618414725001,2020-04-23T03:40:46.584Z
3,added-or-changed,explicit,.mxptint.net,mxpim,R1B341_C92AD3CC_307A1E57C.1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000005EA10E3E,2020-04-23T03:40:46.680Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzCOlV+FIuKHz2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.748Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzCOlV+FIuKHz2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.749Z
3,added-or-changed,explicit,.sitescout.com,_ssum,e30,2020-04-23T03:40:46.760Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzY1XH5TJGfIj2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.766Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzY1XH5TJGfIj2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.766Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzRW8WWVzgnE/2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.820Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzRW8WWVzgnE/2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.820Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzwWVIT18TZjz2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:46.822Z
