,context1,context2:,context3:
1,"nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,adform,bttrack,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,mathtag,sharethrough,openx,scorecardresearch,agkn,everesttech,bing,turn.com,bidr,tapad,w55c,sitescout,doubleclick,mookie1,adnxs,spotxchange,dnacdn,krxd,simpli,adentifi,taboola,1rx,twitter,zemanta,atdmt,adsymptotic,advertising,districtm,pubmatic,demdex,bidswitch,contextweb,mxptint,rubiconproject,myvisualiq,yahoo,owneriq,quantserve","nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,adform,bttrack,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,mathtag,sharethrough,openx,scorecardresearch,agkn,everesttech,bing,turn.com,bidr,tapad,w55c,sitescout,doubleclick,mookie1,adnxs,spotxchange,dnacdn,krxd,simpli,adentifi,taboola,1rx,twitter,zemanta,atdmt,adsymptotic,advertising,districtm,pubmatic,demdex,bidswitch,contextweb,mxptint,rubiconproject,myvisualiq,yahoo,owneriq,quantserve","nr-data,doubleclick,demdex,everesttech,facebook,yahoo,adsymptotic"
2,"nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,linkedin,adform,bttrack,ib-ibi,smartadserver,exelator,rlcdn,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,acuityplatform,mathtag,sharethrough,openx,scorecardresearch,appier,dotomi,agkn,everesttech,bing,turn.com,addthis,bidr,tapad,w55c,advangelists,sitescout,mfadsrvr,doubleclick,spotxchange,adnxs,dnacdn,krxd,simpli,taboola,1rx,twitter,zemanta,atdmt,tribalfusion,adsymptotic,advertising,rfihub,pubmatic,gumgum,demdex,bidswitch,zorosrv,contextweb,mxptint,rubiconproject,creativecdn,yieldmo,myvisualiq,iasds01,yahoo,owneriq,quantserve","nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,adform,bttrack,ib-ibi,smartadserver,exelator,rlcdn,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,acuityplatform,mathtag,sharethrough,openx,scorecardresearch,appier,dotomi,agkn,everesttech,bing,turn.com,addthis,bidr,tapad,w55c,advangelists,sitescout,mfadsrvr,doubleclick,spotxchange,adnxs,dnacdn,krxd,simpli,taboola,1rx,twitter,zemanta,atdmt,tribalfusion,adsymptotic,advertising,rfihub,pubmatic,gumgum,demdex,bidswitch,zorosrv,contextweb,mxptint,rubiconproject,creativecdn,yieldmo,myvisualiq,iasds01,yahoo,owneriq,quantserve","doubleclick,demdex,everesttech,facebook,linkedin,yahoo,adsymptotic"
3,"nr-data,media.net,srv,rkdms,facebook,linkedin,adform,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,amazon-adsystem,mathtag,sharethrough,scorecardresearch,agkn,everesttech,bing,turn.com,sitescout,mfadsrvr,doubleclick,mookie1,adnxs,dnacdn,taboola,1rx,twitter,zemanta,atdmt,adsymptotic,advertising,pubmatic,demdex,bidswitch,contextweb,yahoo,quantserve","media.net,srv,rkdms,facebook,adform,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,amazon-adsystem,mathtag,sharethrough,scorecardresearch,agkn,turn.com,sitescout,doubleclick,mookie1,adnxs,dnacdn,taboola,1rx,twitter,zemanta,pubmatic,demdex,bidswitch,contextweb,yahoo,quantserve","nr-data,doubleclick,demdex,everesttech,facebook,bing,linkedin,twitter,yahoo,atdmt,adsymptotic"
4,"nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,linkedin,adform,bttrack,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,acuityplatform,mathtag,sharethrough,openx,scorecardresearch,agkn,dotomi,everesttech,bing,turn.com,addthis,bidr,tapad,w55c,sitescout,mfadsrvr,doubleclick,adnxs,dnacdn,krxd,simpli,taboola,1rx,twitter,zemanta,atdmt,tribalfusion,adsymptotic,advertising,rfihub,pubmatic,gumgum,demdex,bidswitch,zorosrv,contextweb,mxptint,rubiconproject,creativecdn,yieldmo,myvisualiq,yahoo,owneriq,quantserve","nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,adform,bttrack,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,acuityplatform,mathtag,sharethrough,openx,scorecardresearch,agkn,dotomi,everesttech,bing,turn.com,addthis,bidr,tapad,w55c,sitescout,mfadsrvr,doubleclick,adnxs,dnacdn,krxd,simpli,taboola,1rx,twitter,zemanta,tribalfusion,adsymptotic,advertising,rfihub,pubmatic,gumgum,demdex,bidswitch,zorosrv,contextweb,mxptint,rubiconproject,creativecdn,yieldmo,myvisualiq,yahoo,owneriq,quantserve","nr-data,doubleclick,demdex,everesttech,facebook,bing,linkedin,twitter,yahoo,atdmt,adsymptotic"
5,"media.net,srv,crwdcntrl,facebook,ipredictive,3lift,linkedin,bttrack,ib-ibi,smartadserver,exelator,rlcdn,bluekai,adsrvr,casalemedia,amazon-adsystem,mathtag,sharethrough,openx,scorecardresearch,agkn,everesttech,bing,turn.com,bidr,tapad,w55c,sitescout,mfadsrvr,doubleclick,mookie1,spotxchange,adnxs,dnacdn,krxd,simpli,adentifi,taboola,1rx,twitter,zemanta,atdmt,adsymptotic,advertising,rfihub,districtm,pubmatic,demdex,bidswitch,contextweb,rubiconproject,yieldmo,yahoo,owneriq,quantserve","nr-data,media.net,srv,crwdcntrl,facebook,ipredictive,3lift,bttrack,ib-ibi,smartadserver,exelator,rlcdn,bluekai,adsrvr,casalemedia,amazon-adsystem,mathtag,sharethrough,openx,scorecardresearch,agkn,everesttech,bing,turn.com,bidr,tapad,w55c,sitescout,mfadsrvr,doubleclick,mookie1,spotxchange,adnxs,dnacdn,krxd,simpli,adentifi,taboola,1rx,twitter,zemanta,atdmt,adsymptotic,advertising,rfihub,districtm,pubmatic,demdex,bidswitch,contextweb,rubiconproject,yieldmo,yahoo,owneriq,quantserve","nr-data,doubleclick,demdex,everesttech,facebook,bing,linkedin,twitter,yahoo,atdmt,adsymptotic"
6,"nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,linkedin,adform,bttrack,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,acuityplatform,mathtag,sharethrough,openx,scorecardresearch,appier,dotomi,agkn,everesttech,bing,turn.com,addthis,bidr,tapad,w55c,advangelists,sitescout,mfadsrvr,doubleclick,mookie1,spotxchange,adnxs,dnacdn,krxd,simpli,taboola,1rx,twitter,zemanta,atdmt,tribalfusion,advertising,adsymptotic,districtm,rfihub,pubmatic,gumgum,demdex,bidswitch,zorosrv,contextweb,mxptint,rubiconproject,creativecdn,myvisualiq,iasds01,yahoo,owneriq,quantserve","nr-data,media.net,srv,crwdcntrl,rkdms,extend.tv,facebook,ipredictive,3lift,adform,bttrack,ib-ibi,rlcdn,exelator,bluekai,adsrvr,deepintent,casalemedia,amazon-adsystem,acuityplatform,mathtag,sharethrough,openx,scorecardresearch,appier,dotomi,agkn,everesttech,bing,turn.com,addthis,bidr,tapad,w55c,advangelists,sitescout,mfadsrvr,doubleclick,mookie1,spotxchange,adnxs,dnacdn,krxd,simpli,taboola,1rx,twitter,zemanta,atdmt,tribalfusion,adsymptotic,advertising,districtm,rfihub,pubmatic,gumgum,demdex,bidswitch,zorosrv,contextweb,mxptint,rubiconproject,creativecdn,myvisualiq,iasds01,yahoo,owneriq,quantserve","nr-data,doubleclick,demdex,everesttech,facebook,bing,linkedin,twitter,yahoo,adsymptotic"
