inbound,outbound,weight
theguardian,medscape,1
theguardian,webmd,24
nytimes,webmd,17
nytimes,medscape,1
forbes,webmd,30
washingtonpost,webmd,12
cnn,webmd,26
colledgeboard,washingtonpost,1
colledgeboard,nytimes,2
colledgeboard,forbes,3
colledgeboard,cnn,4
colledgeboard,theguardian,1
colledgeboard,webmd,4
edx,washingtonpost,1
edx,forbes,3
edx,cnn,2
edx,theguardian,1
edx,nytimes,1
edx,webmd,1
harvard,webmd,1
harvard,washingtonpost,1
jhu,webmd,1
