exp,from,to,by
6,verywellhealth,forbes,amazon-adsystem
6,verywellhealth,forbes,adnxs
6,verywellhealth,forbes,bluekai
6,verywellhealth,theguardian,mathtag
6,webmd,washingtonpost,advertising
6,webmd,cnn,mathtag
6,webmd,theguardian,extend.tv
6,webmd,forbes,sharethrough
6,webmd,washingtonpost,openx
6,webmd,washingtonpost,yahoo
6,webmd,cnn,rubiconproject
6,webmd,nytimes,everesttech
6,webmd,washingtonpost,rubiconproject
6,webmd,washingtonpost,amazon-adsystem
6,webmd,theguardian,bluekai
6,webmd,harvard,doubleclick
6,webmd,cnn,pubmatic
6,webmd,theguardian,adnxs
6,webmd,forbes,facebook
6,webmd,forbes,openx
6,webmd,forbes,yahoo
6,webmd,theguardian,adsrvr
6,webmd,theguardian,tapad
6,webmd,nytimes,3lift
6,webmd,cnn,tapad
6,webmd,forbes,adsymptotic
6,webmd,forbes,turn.com
6,webmd,cnn,agkn
6,webmd,cnn,rlcdn
6,webmd,theguardian,advertising
6,webmd,washingtonpost,districtm
6,webmd,forbes,rfihub
6,webmd,washingtonpost,sharethrough
6,webmd,theguardian,zemanta
6,webmd,cnn,openx
6,webmd,edx,doubleclick
6,webmd,cnn,creativecdn
6,webmd,nytimes,agkn
6,webmd,forbes,adform
6,webmd,cnn,turn.com
6,webmd,cnn,demdex
6,webmd,cnn,bidswitch
6,webmd,cnn,adsymptotic
6,webmd,colledgeboard,demdex
6,webmd,nytimes,adform
6,webmd,forbes,agkn
6,webmd,theguardian,mfadsrvr
6,webmd,colledgeboard,yahoo
6,webmd,washingtonpost,adsrvr
6,webmd,cnn,yahoo
6,webmd,nytimes,casalemedia
6,webmd,washingtonpost,adform
6,webmd,nytimes,rfihub
6,webmd,theguardian,contextweb
6,webmd,theguardian,facebook
6,webmd,cnn,simpli
6,webmd,theguardian,creativecdn
6,webmd,theguardian,casalemedia
6,webmd,cnn,srv
6,webmd,forbes,doubleclick
6,webmd,forbes,zemanta
6,webmd,theguardian,turn.com
6,webmd,theguardian,sharethrough
6,webmd,cnn,casalemedia
6,webmd,theguardian,srv
6,webmd,cnn,zorosrv
6,webmd,cnn,sharethrough
6,webmd,washingtonpost,casalemedia
6,webmd,nytimes,openx
6,webmd,cnn,twitter
6,webmd,theguardian,gumgum
6,webmd,theguardian,bidr
6,webmd,cnn,amazon-adsystem
6,webmd,forbes,demdex
6,webmd,theguardian,1rx
