visit_id,host,name,value,time_stamp,type
3,.berkeley.edu,__utmb,41573937.3.9.1587606328654,2020-04-23T01:45:50.659Z,set
3,.berkeley.edu,__utmb,41573937.3.9.1587606328654,2020-04-23T01:45:50.660Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:45:50.661Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:45:50.662Z,set
3,.berkeley.edu,__utmb,41573937.4.9.1587606328654,2020-04-23T01:45:50.673Z,set
3,.berkeley.edu,__utmb,41573937.4.9.1587606328654,2020-04-23T01:45:50.673Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:45:52.999Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:45:53.000Z,set
3,.berkeley.edu,__utmb,41573937.5.9.1587606352994,2020-04-23T01:45:53.003Z,set
3,.berkeley.edu,__utmb,41573937.5.9.1587606352994,2020-04-23T01:45:53.003Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:45:53.005Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:45:53.007Z,set
3,.berkeley.edu,_ga,GA1.2.1106402829.1587606280,2020-04-23T01:45:53.319Z,set
3,.berkeley.edu,_ga,GA1.2.1106402829.1587606280,2020-04-23T01:45:53.320Z,set
3,.berkeley.edu,_gid,GA1.2.2027022947.1587606305,2020-04-23T01:45:53.320Z,set
3,.berkeley.edu,_gid,GA1.2.2027022947.1587606305,2020-04-23T01:45:53.321Z,set
3,news.berkeley.edu,_cb_ls,1,2020-04-23T01:45:53.964Z,set
3,news.berkeley.edu,_cb,DtcewaCYMqpGBQACj9,2020-04-23T01:45:53.987Z,set
3,news.berkeley.edu,_chartbeat2,.1587606353975.1587606353975.1.DaJskrBQ-K2gBmmi5iCsUm1JDt9pdu.1,2020-04-23T01:45:53.989Z,set
3,news.berkeley.edu,_cb_svref,https%3A%2F%2Fwww.berkeley.edu%2F,2020-04-23T01:45:53.993Z,set
3,news.berkeley.edu,_cb_svref,https%3A%2F%2Fwww.berkeley.edu%2F,2020-04-23T01:45:54.005Z,set
3,news.berkeley.edu,_cb_svref,https%3A%2F%2Fwww.berkeley.edu%2F,2020-04-23T01:45:54.007Z,set
3,.news.berkeley.edu,nmstat,1587606401436,2020-04-23T01:45:54.162Z,set
3,news.berkeley.edu,_chartbeat4,t=DQNk5NCBRGKJDd7SSKBBOItawwD_M&E=5&x=0&c=0.34&y=2397&w=694,2020-04-23T01:46:14.220Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:46:14.724Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:46:14.724Z,set
3,.berkeley.edu,__utmb,41573937.5.9.1587606352994,2020-04-23T01:46:14.724Z,set
3,.berkeley.edu,__utmb,41573937.5.9.1587606352994,2020-04-23T01:46:14.724Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:46:14.730Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:46:14.731Z,set
3,.berkeley.edu,__utmb,41573937.6.9.1587606352994,2020-04-23T01:46:14.731Z,set
3,.berkeley.edu,__utmb,41573937.6.9.1587606352994,2020-04-23T01:46:14.734Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:46:17.095Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:46:17.095Z,set
3,.berkeley.edu,__utmb,41573937.7.9.1587606377090,2020-04-23T01:46:17.097Z,set
3,.berkeley.edu,__utmb,41573937.7.9.1587606377090,2020-04-23T01:46:17.098Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:46:17.099Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:46:17.100Z,set
3,bconnected.berkeley.edu,has_js,1,2020-04-23T01:46:18.046Z,set
3,.berkeley.edu,_ga,GA1.2.1106402829.1587606280,2020-04-23T01:46:18.306Z,set
3,.berkeley.edu,_ga,GA1.2.1106402829.1587606280,2020-04-23T01:46:18.307Z,set
3,.berkeley.edu,_gid,GA1.2.2027022947.1587606305,2020-04-23T01:46:18.325Z,set
3,.berkeley.edu,_gid,GA1.2.2027022947.1587606305,2020-04-23T01:46:18.326Z,set
3,.berkeley.edu,_gat,1,2020-04-23T01:46:18.328Z,set
3,.berkeley.edu,_gat,1,2020-04-23T01:46:18.329Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:46:38.888Z,set
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:46:38.888Z,set
3,.berkeley.edu,__utmb,41573937.7.9.1587606377090,2020-04-23T01:46:38.888Z,set
3,.berkeley.edu,__utmb,41573937.7.9.1587606377090,2020-04-23T01:46:38.889Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:46:38.890Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:46:38.890Z,set
3,.berkeley.edu,__utmb,41573937.8.9.1587606377090,2020-04-23T01:46:38.946Z,set
3,.berkeley.edu,__utmb,41573937.8.9.1587606377090,2020-04-23T01:46:38.946Z,set
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.892Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.892Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Sat,23Apr202201:44:39GMT",2020-04-23T01:44:39.892Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.892Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.894Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.894Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,23Apr202002:14:39GMT",2020-04-23T01:44:39.894Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.894Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.896Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.896Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.896Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.898Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.898Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,22Oct202013:44:39GMT",2020-04-23T01:44:39.898Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.898Z,use
3,https://ssl.google-analytics.com/ga.js,__utmv,,2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,23Apr202001:44:39GMT",2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.899Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.900Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.902Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.905Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.905Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.905Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.905Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.906Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.906Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,23Apr202001:54:39GMT",2020-04-23T01:44:39.906Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.906Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.907Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.907Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.907Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.907Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.907Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.908Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.908Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.908Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.908Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.908Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.910Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.910Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Sat,23Apr202201:44:39GMT",2020-04-23T01:44:39.910Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.910Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.911Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.911Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,23Apr202002:14:39GMT",2020-04-23T01:44:39.911Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.911Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.912Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.912Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.912Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.914Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.914Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,22Oct202013:44:39GMT",2020-04-23T01:44:39.914Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.914Z,use
3,https://ssl.google-analytics.com/ga.js,__utmv,,2020-04-23T01:44:39.915Z,use
3,https://ssl.google-analytics.com/ga.js,path,/,2020-04-23T01:44:39.915Z,use
3,https://ssl.google-analytics.com/ga.js,expires,"Thu,23Apr202001:44:39GMT",2020-04-23T01:44:39.915Z,use
3,https://ssl.google-analytics.com/ga.js,domain,berkeley.edu,2020-04-23T01:44:39.915Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.916Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.916Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.916Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.916Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.916Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.917Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.918Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.918Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.918Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.918Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.918Z,use
3,https://ssl.google-analytics.com/ga.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.920Z,use
3,https://ssl.google-analytics.com/ga.js,__utmc,41573937,2020-04-23T01:44:39.920Z,use
3,https://ssl.google-analytics.com/ga.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.920Z,use
3,https://ssl.google-analytics.com/ga.js,__utmt,1,2020-04-23T01:44:39.920Z,use
3,https://ssl.google-analytics.com/ga.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.920Z,use
