namevalue,context_id,count,host_list
"('DW', '00000000-0000-0063-554b-6c1588205961')",1,3,"['.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DW', '00000000-0000-0063-554b-6c1588205961')",2,6,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DW_Time', '1588205961')",1,5,"['.insightexpressai.com', '.insightexpressai.com', '.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DW_Time', '1588205961')",2,6,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DotomiTest', '174e0694e94a11d8')",1,3,"['.dotomi.com', '.dotomi.com', 'medianet-match.dotomi.com']"
"('DotomiTest', '174e0694e94a11d8')",2,1,['.dotomi.com']
"('GUC', 'AQEBAQFeq2pes0IcOgQR')",1,1,['.yahoo.com']
"('GUC', 'AQEBAQFeq2pes0IcOgQR')",2,6,"['.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', 'pr-bh.ybp.yahoo.com', 'pr-bh.ybp.yahoo.com']"
"('GoogleAdServingTest', 'Good')",1,2,"['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042302.js', 'https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042302.js']"
"('GoogleAdServingTest', 'Good')",2,2,"['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042302.js', 'https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042302.js']"
"('GoogleAdServingTest', 'nan')",1,1,['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042302.js']
"('GoogleAdServingTest', 'nan')",2,1,['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042302.js']
