namevalue,context_id,count,host_list
"('IDE', 'AHWqTUk9q0zlHe60lUI2XD6ZuauHWKa3jXh2bM56eM4AsZd_QuNEkrXIPQFs--36')",1,87,"['.doubleclick.net', '.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net']"
"('IDE', 'AHWqTUk9q0zlHe60lUI2XD6ZuauHWKa3jXh2bM56eM4AsZd_QuNEkrXIPQFs--36')",2,80,"['securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'googleads.g.doubleclick.net', 'cm.g.doubleclick.net', 'stats.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'cm.g.doubleclick.net', 'ad.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', '5290727.fls.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'stats.g.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'stats.g.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net']"
"('IDE', 'AHWqTUk9q0zlHe60lUI2XD6ZuauHWKa3jXh2bM56eM4AsZd_QuNEkrXIPQFs--36')",3,30,"['googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net']"
"('IXAI43691', 'FTF')",1,3,"['.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('IXAI43691', 'FTF')",2,6,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('TID', '00000000-0000-0063-554d-051588205961')",1,3,"['.insightexpressai.com', '.insightexpressai.com', 'secure.insightexpressai.com']"
"('TID', '00000000-0000-0063-554d-051588205961')",2,1,['secure.insightexpressai.com']
"('UID', '1A117223243a152c3341e7g1588205828')",1,6,"['.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com']"
"('UID', '1A117223243a152c3341e7g1588205828')",2,10,"['sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com']"
"('UIDR', '1588205828')",1,6,"['.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com']"
